Symbol;Name;LastSale;MarketCap;ADR TSO;IPOyear;Sector;industry;Summary Quote
ACO;Amcol International Corporation;34.1;1106326350.8;n/a;n/a;Basic Industries;Mining & Quarrying of Nonmetallic Minerals (No Fuels);http://www.nasdaq.com/symbol/aco
AEE;Ameren Corporation;36.53;8863444531.63;n/a;n/a;Public Utilities;Power Generation;http://www.nasdaq.com/symbol/aee
AMRC;Ameresco, Inc.;10.12;463776496.04;n/a;2010;Basic Industries;Engineering & Construction;http://www.nasdaq.com/symbol/amrc
AMX;America Movil, S.A.B. de C.V.;21.28;81917360000;n/a;n/a;Public Utilities;Telecommunications Equipment;http://www.nasdaq.com/symbol/amx
AAT;American Assets Trust, Inc.;31.94;1291903530.5;n/a;2011;Consumer Services;Real Estate Investment Trusts;http://www.nasdaq.com/symbol/aat
AXL;American Axle & Manufacturing Holdings, Inc.;19;1435735456;n/a;n/a;Capital Goods;Auto Parts:O.E.M.;http://www.nasdaq.com/symbol/axl
ACC;American Campus Communities Inc;34.52;3617102842.84;n/a;2004;Consumer Services;Real Estate Investment Trusts;http://www.nasdaq.com/symbol/acc
AEO;American Eagle Outfitters, Inc.;13.51;2604589914.29;n/a;n/a;Consumer Services;Clothing/Shoe/Accessory Stores;http://www.nasdaq.com/symbol/aeo
AEP;American Electric Power Company, Inc.;47.51;23151166048.82;n/a;n/a;Public Utilities;Electric Utilities: Central;http://www.nasdaq.com/symbol/aep
AEL;American Equity Investment Life Holding Company;22.28;1538497921.32;n/a;2003;Finance;Life Insurance;http://www.nasdaq.com/symbol/ael
AXP;American Express Company;86.64;92814903844.8;n/a;n/a;Finance;Finance: Consumer Services;http://www.nasdaq.com/symbol/axp
AFA;American Financial Group, Inc.;22.91;0;n/a;2012;Finance;Property-Casualty Insurers;http://www.nasdaq.com/symbol/afa
AFG;American Financial Group, Inc.;54.97;4912399327.12;n/a;n/a;Finance;Property-Casualty Insurers;http://www.nasdaq.com/symbol/afg
AFQ;American Financial Group, Inc.;25.95;0;n/a;n/a;Finance;Property-Casualty Insurers;http://www.nasdaq.com/symbol/afq
AFW;American Financial Group, Inc.;24.88;0;n/a;n/a;Finance;Property-Casualty Insurers;http://www.nasdaq.com/symbol/afw
AMH;American Homes 4 Rent;16.41;3043912134.54;n/a;2013;Consumer Services;Real Estate Investment Trusts;http://www.nasdaq.com/symbol/amh
AMH^A;American Homes 4 Rent;24.545;0;n/a;n/a;Consumer Services;Real Estate Investment Trusts;http://www.nasdaq.com/symbol/amh^a
AMH^B;American Homes 4 Rent;24.65;0;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/amh^b
MRF;American Income Fund, Inc.;7.54;71359691;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/mrf
AIG;American International Group, Inc.;48.46;71349906883.22;n/a;n/a;Finance;Property-Casualty Insurers;http://www.nasdaq.com/symbol/aig
AIG/WS;American International Group, Inc.;19.3;0;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/aig/ws
AMID;American Midstream Partners, LP;26.35;187608495.45;n/a;2011;Public Utilities;Natural Gas Distribution;http://www.nasdaq.com/symbol/amid
XAA;American Municipal Income Portfolio;13.87;79839423.29;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/xaa
ARL;American Realty Investors, Inc.;5.9;67999795.1;n/a;n/a;Finance;Real Estate;http://www.nasdaq.com/symbol/arl
ARPI;American Residential Properties, Inc.;18.49;594831324.66;n/a;2013;Consumer Services;Real Estate Investment Trusts;http://www.nasdaq.com/symbol/arpi
SLA;American Select Portfolio, Inc.;9.62;40705404.22;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/sla
AWR;American States Water Company;28.47;1102288620.03;n/a;n/a;Public Utilities;Water Supply;http://www.nasdaq.com/symbol/awr
ASP;American Strategic Income Portfolio;9.2894;39306526.1914;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/asp
BSP;American Strategic Income Portfolio II;8.03;16151285.04;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/bsp
CSP;American Strategic Income Portfolio III;6.75;107903751.75;n/a;1993;n/a;n/a;http://www.nasdaq.com/symbol/csp
AMT;American Tower Corporation (REIT);80.56;31792194130.32;n/a;n/a;Consumer Services;Real Estate Investment Trusts;http://www.nasdaq.com/symbol/amt
AVD;American Vanguard Corporation;23.41;670937201.62;n/a;n/a;Basic Industries;Agricultural Chemicals;http://www.nasdaq.com/symbol/avd
AWK;American Water Works;41.79;7450078692.63;n/a;2008;Public Utilities;Water Supply;http://www.nasdaq.com/symbol/awk
APU;AmeriGas Partners, L.P.;42.87;3979656010.17;n/a;n/a;Consumer Services;Other Specialty Stores;http://www.nasdaq.com/symbol/apu
AMP;AMERIPRISE FINANCIAL SERVICES, INC.;106.54;20726363621.04;n/a;n/a;Finance;Investment Managers;http://www.nasdaq.com/symbol/amp
AMP^A;AMERIPRISE FINANCIAL SERVICES, INC.;25.85;0;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/amp^a
ABC;AmerisourceBergen Corporation (Holding Co);67.72;15682444417.36;n/a;n/a;Health Care;Other Pharmaceuticals;http://www.nasdaq.com/symbol/abc
ANFI;Amira Nature Foods Ltd;18.78;538441380;n/a;2012;Consumer Non-Durables;Packaged Foods;http://www.nasdaq.com/symbol/anfi
AHS;AMN Healthcare Services Inc;15.11;695192363.6;n/a;2001;Health Care;Hospital/Nursing Management;http://www.nasdaq.com/symbol/ahs
AP;Ampco-Pittsburgh Corporation;17.76;184042368.96;n/a;n/a;Capital Goods;Fluid Controls;http://www.nasdaq.com/symbol/ap
APH;Amphenol Corporation;86.09;13626417488.48;n/a;n/a;Capital Goods;Electrical Products;http://www.nasdaq.com/symbol/aph
AMRE;AmREIT, Inc.;15.78;309730423.86;n/a;2012;Consumer Services;Real Estate Investment Trusts;http://www.nasdaq.com/symbol/amre
AXR;AMREP Corporation;7.23;52023132.42;n/a;n/a;Finance;Real Estate;http://www.nasdaq.com/symbol/axr
AME;AMTEK, Inc.;49.9;12213212374.5;n/a;n/a;Consumer Durables;Metal Fabrications;http://www.nasdaq.com/symbol/ame
AFSI^A;AmTrust Financial Services, Inc.;21.74;0;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/afsi^a
APC;Anadarko Petroleum Corporation;81.11;40819981341.18;n/a;n/a;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/apc
AU;AngloGold Ashanti Limited;14.17;5707984920.17;n/a;n/a;Basic Industries;Precious Metals;http://www.nasdaq.com/symbol/au
BUD;Anheuser-Busch Inbev SA;98.58;158319480000;n/a;n/a;Consumer Non-Durables;Beverages (Production/Distribution);http://www.nasdaq.com/symbol/bud
AXE;Anixter International Inc.;89.87;2924448346.38;n/a;n/a;Consumer Non-Durables;Telecommunications Equipment;http://www.nasdaq.com/symbol/axe
ANN;ANN INC.;32.35;1485540209.2;n/a;n/a;Consumer Services;Clothing/Shoe/Accessory Stores;http://www.nasdaq.com/symbol/ann
NLY;Annaly Capital Management Inc;10.43;9881421571.42;n/a;n/a;Consumer Services;Real Estate Investment Trusts;http://www.nasdaq.com/symbol/nly
NLY^A;Annaly Capital Management Inc;25.012;0;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/nly^a
NLY^C;Annaly Capital Management Inc;22.987;0;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/nly^c
NLY^D;Annaly Capital Management Inc;22.8101;0;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/nly^d
BNNY;"Annie&#39;s, Inc.";39.25;663796588.75;n/a;2012;Consumer Non-Durables;Packaged Foods;http://www.nasdaq.com/symbol/bnny
AR;Antero Resources Corporation;58.96;15450447894.64;n/a;2013;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/ar
ANH;Anworth Mortgage Asset  Corporation;4.54;639895253.14;n/a;n/a;Consumer Services;Real Estate Investment Trusts;http://www.nasdaq.com/symbol/anh
ANH^A;Anworth Mortgage Asset  Corporation;24.9;0;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/anh^a
ANH^B;Anworth Mortgage Asset  Corporation;20.5988;0;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/anh^b
AOL;AOL Inc.;48.8;3829435942.4;n/a;n/a;Technology;EDP Services;http://www.nasdaq.com/symbol/aol
AON;Aon plc;80.08;24107926562.72;n/a;n/a;Finance;Specialty Insurers;http://www.nasdaq.com/symbol/aon
APA;Apache Corporation;81.99;32733376775.91;n/a;n/a;Energy;Oil & Gas Production;http://www.nasdaq.com/symbol/apa
AIV;Apartment Investment and Management Company;27.08;3951417168.12;n/a;1994;Consumer Services;Real Estate Investment Trusts;http://www.nasdaq.com/symbol/aiv
AIV^Z;Apartment Investment and Management Company;25.2;0;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/aiv^z
ARI;Apollo Commercial Real Estate Finance;16.55;610421378.85;n/a;2009;Consumer Services;Real Estate Investment Trusts;http://www.nasdaq.com/symbol/ari
ARI^A;Apollo Commercial Real Estate Finance;25.05;0;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/ari^a
APO;Apollo Global Management, LLC;32.24;4633117323.12;n/a;2011;Finance;Investment Managers;http://www.nasdaq.com/symbol/apo
AIB;Apollo Investment Corporation;22.82;0;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/aib
AIY;Apollo Investment Corporation;23.12;0;n/a;2013;n/a;n/a;http://www.nasdaq.com/symbol/aiy
AMTG;Apollo Residential Mortgage, Inc.;15.76;504934167.2;n/a;2011;Consumer Services;Real Estate Investment Trusts;http://www.nasdaq.com/symbol/amtg
AMTG^A;Apollo Residential Mortgage, Inc.;22.418;0;n/a;n/a;n/a;n/a;http://www.nasdaq.com/symbol/amtg^a
AFT;Apollo Senior Floating Rate Fund Inc.;18.2;282901364.2;n/a;2011;n/a;n/a;http://www.nasdaq.com/symbol/aft
AIF;Apollo Tactical Income Fund Inc.;17.82;0;n/a;2013;n/a;n/a;http://www.nasdaq.com/symbol/aif
AIT;Applied Industrial Technologies, Inc.;46.72;1969942726.4;n/a;n/a;Consumer Durables;Industrial Specialties;http://www.nasdaq.com/symbol/ait
ATR;AptarGroup, Inc.;63.67;4192876109.15;n/a;n/a;Consumer Non-Durables;Plastic Products;http://www.nasdaq.com/symbol/atr
WTR;Aqua America, Inc.;23.48;4149142769.84;n/a;n/a;Public Utilities;Water Supply;http://www.nasdaq.com/symbol/wtr
ARSD;Arabian American Development Company;11.5;277528120;n/a;n/a;Energy;Integrated oil Companies;http://www.nasdaq.com/symbol/arsd
